Time	V(N001)	V(N002)	I(V1)	I(R1)	I(C1)	
0.322	4.91144	0.0415548	-0.00486988	-0.00486988	-0.00486988	
0.323	4.96057	0.0464246	-0.00491415	-0.00491415	-0.00491415	
0.324	4.99013	0.0513388	-0.00493879	-0.00493879	-0.00493879	
0.325	5	0.0562776	-0.00494372	-0.00494372	-0.00494372	
0.326	4.99013	0.0612213	-0.00492891	-0.00492891	-0.00492891	
0.327	4.96057	0.0661502	-0.00489442	-0.00489442	-0.00489442	
0.328	4.91144	0.0710446	-0.00484039	-0.00484039	-0.00484039	
0.329	4.84292	0.075885	-0.00476703	-0.00476703	-0.00476703	
0.33	4.75528	0.0806521	-0.00467463	-0.00467463	-0.00467463	
0.331	4.64888	0.0853267	-0.00456356	-0.00456356	-0.00456356	
0.332	4.52414	0.0898903	-0.00443425	-0.00443425	-0.00443425	
0.333	4.38153	0.0943245	-0.00428721	-0.00428721	-0.00428721	
0.334	4.22164	0.0986117	-0.00412303	-0.00412303	-0.00412303	
0.335	4.04508	0.102735	-0.00394235	-0.00394235	-0.00394235	
0.336	3.85257	0.106677	-0.00374589	-0.00374589	-0.00374589	
0.337	3.64484	0.110423	-0.00353442	-0.00353442	-0.00353442	
0.338	3.42274	0.113957	-0.00330878	-0.00330878	-0.00330878	
0.339	3.18712	0.117266	-0.00306985	-0.00306985	-0.00306985	
0.34	2.93893	0.120336	-0.00281859	-0.00281859	-0.00281859	
0.341	2.67913	0.123155	-0.00255598	-0.00255598	-0.00255598	
0.342	2.40877	0.125711	-0.00228306	-0.00228306	-0.00228306	
0.343	2.1289	0.127994	-0.0020009	-0.0020009	-0.0020009	
0.344	1.84062	0.129995	-0.00171063	-0.00171063	-0.00171063	
0.345	1.54508	0.131705	-0.00141338	-0.00141338	-0.00141338	
0.346	1.24345	0.133119	-0.00111033	-0.00111033	-0.00111033	
0.347	0.936907	0.134229	-0.000802678	-0.000802678	-0.000802678	
0.348	0.626666	0.135032	-0.000491635	-0.000491635	-0.000491635	
0.349	0.313953	0.135523	-0.000178429	-0.000178429	-0.000178429	
0.35	-8.45316e-14	0.135702	0.000135702	0.000135702	0.000135702	
0.351	-0.313953	0.135566	0.000449519	0.000449519	0.000449519	
0.352	-0.626666	0.135116	0.000761783	0.000761783	0.000761783	
0.353	-0.936907	0.134355	0.00107126	0.00107126	0.00107126	
0.354	-1.24345	0.133283	0.00137673	0.00137673	0.00137673	
0.355	-1.54508	0.131907	0.00167699	0.00167699	0.00167699	
0.356	-1.84062	0.13023	0.00197085	0.00197085	0.00197085	
0.357	-2.1289	0.128259	0.00225716	0.00225716	0.00225716	
0.358	-2.40877	0.126002	0.00253477	0.00253477	0.00253477	
0.359	-2.67913	0.123467	0.0028026	0.0028026	0.0028026	
0.36	-2.93893	0.120664	0.00305959	0.00305959	0.00305959	
0.361	-3.18712	0.117605	0.00330472	0.00330472	0.00330472	
0.362	-3.42274	0.1143	0.00353704	0.00353704	0.00353704	
0.363	-3.64484	0.110763	0.00375561	0.00375561	0.00375561	
0.364	-3.85257	0.107007	0.00395957	0.00395957	0.00395957	
0.365	-4.04508	0.103048	0.00414813	0.00414813	0.00414813	
0.366	-4.22164	0.0988996	0.00432054	0.00432054	0.00432054	
0.367	-4.38153	0.0945791	0.00447611	0.00447611	0.00447611	
0.368	-4.52414	0.090103	0.00461424	0.00461424	0.00461424	
0.369	-4.64888	0.0854887	0.00473437	0.00473437	0.00473437	
0.37	-4.75528	0.0807543	0.00483604	0.00483604	0.00483604	
0.371	-4.84292	0.0759183	0.00491883	0.00491883	0.00491883	
0.372	-4.91144	0.0709995	0.00498244	0.00498244	0.00498244	
