Time	V(N001)	V(N002)	I(V1)	I(R1)	I(L1)	
0.355	-1.54508	-0.301636	0.00124345	0.00124345	0.00124345	
0.356	-1.84062	-0.295538	0.00154508	0.00154508	0.00154508	
0.357	-2.1289	-0.288274	0.00184062	0.00184062	0.00184062	
0.358	-2.40877	-0.279872	0.0021289	0.0021289	0.0021289	
0.359	-2.67913	-0.270366	0.00240877	0.00240877	0.00240877	
0.36	-2.93893	-0.259792	0.00267913	0.00267913	0.00267913	
0.361	-3.18712	-0.248194	0.00293893	0.00293893	0.00293893	
0.362	-3.42274	-0.235616	0.00318712	0.00318712	0.00318712	
0.363	-3.64484	-0.222108	0.00342274	0.00342274	0.00342274	
0.364	-3.85257	-0.207723	0.00364484	0.00364484	0.00364484	
0.365	-4.04508	-0.192519	0.00385257	0.00385257	0.00385257	
0.366	-4.22164	-0.176555	0.00404508	0.00404508	0.00404508	
0.367	-4.38153	-0.159894	0.00422164	0.00422164	0.00422164	
0.368	-4.52414	-0.142602	0.00438153	0.00438153	0.00438153	
0.369	-4.64888	-0.124747	0.00452414	0.00452414	0.00452414	
0.37	-4.75528	-0.1064	0.00464888	0.00464888	0.00464888	
0.371	-4.84292	-0.0876332	0.00475528	0.00475528	0.00475528	
0.372	-4.91144	-0.0685204	0.00484292	0.00484292	0.00484292	
0.373	-4.96057	-0.0491373	0.00491144	0.00491144	0.00491144	
0.374	-4.99013	-0.0295601	0.00496057	0.00496057	0.00496057	
0.375	-5	-0.00986636	0.00499013	0.00499013	0.00499013	
0.376	-4.99013	0.00986636	0.005	0.005	0.005	
0.377	-4.96057	0.0295601	0.00499013	0.00499013	0.00499013	
0.378	-4.91144	0.0491373	0.00496057	0.00496057	0.00496057	
0.379	-4.84292	0.0685204	0.00491144	0.00491144	0.00491144	
0.38	-4.75528	0.0876332	0.00484292	0.00484292	0.00484292	
0.381	-4.64888	0.1064	0.00475528	0.00475528	0.00475528	
0.382	-4.52414	0.124747	0.00464888	0.00464888	0.00464888	
0.383	-4.38153	0.142602	0.00452414	0.00452414	0.00452414	
0.384	-4.22164	0.159894	0.00438153	0.00438153	0.00438153	
0.385	-4.04508	0.176555	0.00422164	0.00422164	0.00422164	
0.386	-3.85257	0.192519	0.00404508	0.00404508	0.00404508	
